ID	LANG	TEXT	CONSTR
304	IT	Guardava l'arrestato con occhi torbidi, e per un po' tacque, cercando penosamente di ricordare perché sotto lo spietato solleone mattutino di Jerushalajim stava davanti a lui un arrestato dal volto tumefatto dalle percosse, e quali altre domande inutili dovesse ancora rivolgergli.	dovere
304	ES	Miraba con ojos turbios al detenido y permanecía callado; le costaba trabajo recordar por qué estaba delante de él, bajo el implacable sol de Jershalaím, un hombre con la cara desfigurada por los golpes, y qué inútiles preguntas tendría que hacerle todavía.	tener que
304	FR	Ses yeux troubles revinrent au prisonnier et il demeura un moment silencieux, essayant douloureusement de se rappeler pourquoi, sous l’impitoyable soleil matinal de Jérusalem, on lui avait amené ce prévenu au visage marqué de coups, et quelles questions – qui n’intéresseraient jamais personne d’ailleurs – il fallait encore lui poser.	il faut
304	UK	Він дивився каламутними очима на арештованого і якусь хвилю мовчав, болісно згадуючи, навіщо це на ранковому безжалісному єршалаїмському осонні стоїть перед ним арештант із понівеченим побоями лицем, і які ще нікому не потрібні питання йому доведеться ставити.	доведеться
334	RU	Приходилось верить .	приходиться
334	EN	He had to believe .	have to
334	DE	Aber er mußte es wohl .	müssen
334	IT	Bisognava crederci.	bisognare
334	ES	Pero parecía ser cierto.	missing
334	FR	Il le fallait bien.	il faut
334	UK	Доводилося вірити.	доведеться
413	RU	– Мне не нужно знать , – придушенным , злым голосом отозвался Пилат , – приятно или неприятно тебе говорить правду .	нужно
413	EN	` I have no need to know , ' Pilate responded in a stifled , angry voice , ' whether it is pleasant or unpleasant for you to speak the truth .	need to
413	DE	 Ich will nicht wissen  , erwiderte Pilatus dumpf und gereizt , " ob es dir angenehm oder unangenehm ist , die Wahrheit zu sagen .	wollen
413	IT	- Non m'interessa, - ribatté con voce strozzata e cattiva Pilato, - se ti è grato o no dire la verità.	lexical
413	ES	—No quiero saber —contestó Pilatos con una voz ahogada y dura— si te resulta agradable o no decir la verdad.	querer + inf
413	FR	Pilate faillit s’étrangler de fureur : – Je me moque de savoir s’il t’est agréable ou non de dire la vérité !	missing
413	UK	— Мені не треба знати, — здушеним, злим голосом озвався Пилат, — приємно чи неприємно тобі казати правду.	треба
414	RU	Но тебе придется ее говорить .	приходиться
414	EN	You will have to speak it anyway .	have to
414	DE	Du mußt sie ohnehin sagen .	müssen
414	IT	Ma tu la dovrai dire.	dovere
414	ES	Tendrás que decirla.	tener que
414	FR	Il faudra bien que tu la dises, de toute façon.	il faut
414	UK	Та тобі доведеться її казати.	доведеться
491	RU	Согласно закону , согласно обычаю , одного из этих двух преступников нужно будет отпустить на свободу в честь наступающего сегодня великого праздника пасхи .	нужно
491	EN	According to the law , according to custom , one of these two criminals had to be released in honour of the great feast of Passover , which would begin that day .	have to
491	DE	Nach Gesetz und Sitte müsse einer dieser beiden Verbrecher zu Ehren des bevorstehenden Pessachfestes freigelassen werden .	müsse
491	IT	Secondo la legge e la consuetudine, si sarebbe dovuto rilasciare uno dei due prigionieri in onore della grande festa della Pasqua che stava per iniziare.	dovere
491	ES	De acuerdo con la ley y de acuerdo con la costumbre, uno de estos dos delincuentes tenía que ser liberado en honor a la gran fiesta de Pascua que empezaba aquel día.	tener que
491	FR	Selon la Loi et selon la coutume, l’un de ces deux criminels devait être remis en liberté, en l’honneur de la grande fête de pâque qui commençait aujourd’hui.	devoir
491	UK	Згідно з законом, згідно зі звичаєм одного з цих двох злочинців слід буде відпустити на волю на честь великого свята Пасхи, що настає сьогодні.	слід
547	RU	– О нет ! – воскликнул Пилат , и с каждым словом ему становилось все легче и легче : не нужно было больше притворяться . Не нужно было подбирать слова . – Слишком много ты жаловался кесарю на меня , и настал теперь мой час , Каифа !	нужно
547	EN	 Oh , no ! ' Pilate exclaimed , and he felt lighter and lighter with every word : there was no more need to pretend , no more need to choose his words , ` you have complained about me too much to Caesar , and now my hour has come , Kaifa !	need to
547	DE	 O nein !  rief Pilatus aus , und mit jedem Wort wurde ihm leichter , denn jetzt brauchte er nicht mehr sich zu verstellen , nicht mehr die Worte zu wählen . " Gar zu oft hast du dich beim Kaiser über mich beklagt , Kaiphas , doch jetzt ist meine Stunde gekommen !	brauchen
547	IT	- Oh no! - esclamò Pilato, e a ogni parola si sentiva meglio: non occorreva piú fingere, non occorreva pesare le parole. - Ti sei troppo lamentato di me con Cesare, e adesso è giunta la mia ora, Caifa!	occorrere
547	ES	—¡Oh, no! —exclamó Pilatos, y cada palabra le hacía sentirse más aliviado: ya no tenía que fingir, no tenía que medir las palabras—. ¡Te has quejado al César de mí demasiadas veces, Caifás, y ha llegado mi hora!	tener que
547	FR	– Oh ! non ! s’écria Pilate, et chaque mot qu’il prononçait lui apportait un nouveau soulagement : plus besoin de simuler, plus besoin de choisir ses termes. Trop longtemps tu t’es plaint de moi à César, maintenant mon heure est venue. Caïphe !	besoin
547	UK	— О ні! — вигукнув Пилат, і що не слово йому ставало дедалі легше й легше: не треба було більше прикидатися, не треба було добирати слів. — Надто багато ти скаржився кесареві на мене, і настав тепер мій час, Каїфо!	треба
549	RU	Вспомни , как мне пришлось из - за вас снимать со стен щиты с вензелями императора , перемещать войска , пришлось , видишь , самому приехать , глядеть , что у вас тут творится !	приходиться
549	EN	Remember how on account of you I had to remove the shields with the emperor 's insignia from the walls , had to transfer troops , had , as you see , to come in person to look into what goes on with you here !	have to
549	DE	Vergiß nicht , daß ich euretwegen die Schilde mit dem kaiserlichen Emblem von der Wand nehmen , Truppen verlegen und selber herkommen mußte , um hier bei euch nach dem Rechten zu sehen !	müssen
549	IT	Ricordati come io dovetti per causa vostra togliere dalle mura gli scudi con l'emblema dell'imperatore, spostare le truppe.	dovere
549	ES	¡Acuérdate de cómo por vuestra culpa tuve que arrancar de las paredes los escudos con la efigie del emperador, trasladar a los soldados, cómo tuve que venir aquí para ver qué ocurría!	missing
549	FR	Rappelle-toi que j’ai dû, à cause de vous, faire enlever des murs les écussons au chiffre de l’empereur, déplacer des troupes, et venir moi-même ici, figure-toi, pour voir ce que vous fabriquiez !	missing
549	UK	Згадай, як довелося мені через вас знімати з мурів щити з вензелями імператора, переміщувати війська, довелось, бачиш, самому приїхати подивитись, що в вас тут діється!	доведеться
635	RU	Но надо полагать , что все - таки рассказывал профессор , иначе придется допустить , что то же самое приснилось и Берлиозу , потому что тот сказал , внимательно всматриваясь в лицо иностранца :	надо
635	EN	But it must be supposed that the professor did tell the story after all , otherwise it would have to be assumed that Berlioz had had the same dream , because he said , studying the foreigner 's face attentively :	must
635	DE	Der Professor mußte aber wohl doch erzählt haben , oder der Lyriker hätte annehmen müssen , Berlioz habe dasselbe geträumt , denn dieser blickte den Ausländer aufmerksam an und sagte : " Ihre Erzählung ist ungewöhnlich interessant , Professor , obwohl sie ganz und gar nicht mit dem Evangelium übereinstimmt . "	müssen
635	IT	Ma si deve supporre che fosse proprio stato il professore a raccontare, se no bisognerebbe ammettere che anche Berlioz aveva avuto lo stesso sogno. Questi disse infatti guardando con attenzione il volto dello straniero:	dovere
635	ES	Tenemos que suponer que realmente el profesor les había contado todo aquello, de otro modo habríamos de admitir que Berlioz había soñado lo mismo, porque, mirando fijamente al extranjero, dijo:	tener que
635	FR	Mais il faut croire que le professeur avait tout de même raconté quelque chose. Sinon, il faudrait admettre que Berlioz avait eu exactement le même rêve, car il dit, en dévisageant l’étranger avec attention :	il faut
635	UK	Та слід гадати, що усе ж таки розповідав професор, інакше доведеться припустити, що те саме наснилося й Берліозові, бо той сказав, уважно приглядаюсь до обличчя іноземця:	слід
635-2	RU	Но надо полагать , что все - таки рассказывал профессор , иначе придется допустить , что то же самое приснилось и Берлиозу , потому что тот сказал , внимательно всматриваясь в лицо иностранца :	приходиться
635-2	EN	But it must be supposed that the professor did tell the story after all , otherwise it would have to be assumed that Berlioz had had the same dream , because he said , studying the foreigner 's face attentively :	would have to
635-2	DE	Der Professor mußte aber wohl doch erzählt haben , oder der Lyriker hätte annehmen müssen , Berlioz habe dasselbe geträumt , denn dieser blickte den Ausländer aufmerksam an und sagte : " Ihre Erzählung ist ungewöhnlich interessant , Professor , obwohl sie ganz und gar nicht mit dem Evangelium übereinstimmt . "	müssen
635-2	IT	Ma si deve supporre che fosse proprio stato il professore a raccontare, se no bisognerebbe ammettere che anche Berlioz aveva avuto lo stesso sogno. Questi disse infatti guardando con attenzione il volto dello straniero:	bisognare
635-2	ES	Tenemos que suponer que realmente el profesor les había contado todo aquello, de otro modo habríamos de admitir que Berlioz había soñado lo mismo, porque, mirando fijamente al extranjero, dijo:	haber
635-2	FR	Mais il faut croire que le professeur avait tout de même raconté quelque chose. Sinon, il faudrait admettre que Berlioz avait eu exactement le même rêve, car il dit, en dévisageant l’étranger avec attention :	il faut
635-2	UK	Та слід гадати, що усе ж таки розповідав професор, інакше доведеться припустити, що те саме наснилося й Берліозові, бо той сказав, уважно приглядаюсь до обличчя іноземця:	доведеться
650	RU	Берлиоз тотчас сообразил , что следует делать .	следует
650	EN	Berlioz realized at once what had to be done .	have to
650	DE	Berlioz erwog sofort , was zu tun sei .	sei
650	IT	Berlioz capí subito quello che conveniva fare.	convenire
650	ES	Berlioz reaccionó enseguida y decidió lo que había que hacer.	haber que
650	FR	Berlioz sut tout de suite ce qu’il allait faire.	aller
650	UK	Берліоз одразу зміркував, що треба робити.	треба
672	RU	План Берлиоза следует признать правильным : нужно было добежать до ближайшего телефона - автомата и сообщить в бюро иностранцев о том , что вот , мол , приезжий из - за границы консультант сидит на Патриарших прудах в состоянии явно ненормальном . Так вот , необходимо принять меры , а то получается какая - то неприятная чепуха .	нужно
672	EN	Berlioz 's plan must be acknowledged as correct : he had to run to the nearest public telephone and inform the foreigners ' bureau , thus and so , there 's some consultant from abroad sitting at the Patriarch 's Ponds in an obviously abnormal state . So it was necessary to take measures , lest some unpleasant nonsense result .	have to
672	DE	Berlioz ' Plan darf als richtig gelten : Er mußte zur nächsten Telefonzelle laufen , das Ausländerbüro anrufen und melden , an den Patriarchenteichen sitze ein zugereister ausländischer Konsultant in offenkundig anomaler Verfassung . Es seien Maßnahmen zu ergreifen , sonst könne es zu einem Schlamassel kommen .	müssen
672	IT	Si deve ammettere che il piano di Berlioz era giusto: occorreva fare una corsa fino al piú vicino telefono pubblico e comunicare all'ufficio stranieri che un consulente arrivato dall'estero si trovava agli stagni Patriaršie in uno stato tutt'altro che normale. Bisognava perciò prendere delle misure, se no sarebbe successo un pasticcio.	dovere
672	ES	Hay que reconocer que el plan de Berlioz era acertado: lo primero era encontrar un teléfono público y comunicar inmediatamente a la Sección de Extranjeros algo parecido a que el consejero recién llegado estaba en Los Estanques en un estado evidentemente anormal. Y habría que tomar las debidas precauciones, porque todo aquello era una cosa disparatada y bastante desagradable.	haber que
672	FR	Il faut reconnaître que le plan de Berlioz était sage : courir à la cabine téléphonique la plus proche, et informer le bureau des étrangers que, voilà, il y avait ici, à l’étang du Patriarche, un étranger, qui se présentait comme un spécialiste appelé en consultation, et qui se trouvait dans un état manifestement anormal. Qu’il fallait donc prendre des mesures, sinon il en résulterait on ne sait quelle absurdité très désagréable.	il faut
672	UK	Плян Берліоза слід визнати правильним: треба було добігти до найближчого телефону-автомата й сповістити бюро іноземців про те, що от, мовляв, приїжджий з-за кордону консультант сидить на Патріярших ставах у стані явно ненормальному. Так от, слід ужити заходів, бо виходить якась прикра нісенітниця.	слід
801	RU	Ждать пришлось недолго : открыла Ивану дверь какая - то девочка лет пяти и , ни о чем не справляясь у пришедшего , немедленно ушла куда - то .	приходиться
801	EN	He did not have to wait long . Some little girl of about five opened the door for Ivan and , without asking him anything , immediately went away somewhere .	have to
801	DE	Er brauchte nicht lange zu warten . Ein kleines Mädchen von vielleicht fünf Jahren öffnete ihm und entfernte sich sofort , ohne ihm Fragen zu stellen .	brauchen
801	IT	Non dovette aspettare a lungo. La porta gli fu aperta da una bimbetta sui cinque anni che se ne andò via subito senza chiedergli niente.	dovere
801	ES	No le hicieron esperar mucho. Una niña de unos cinco años abrió la puerta y, sin preguntar nada, desapareció en el interior.	hacer
801	FR	Il n’eut pas à attendre longtemps. La porte lui fut ouverte par une petite fille inconnue, âgée de cinq ans environ, qui, sans lui poser la moindre question, s’enfuit aussitôt on ne sait où.	il n’eut pas
801	UK	Чекати довелось недовго: двері Іванові відчинила якась дівчинка років п’яти і, нічого не питаючи в зайди, відразу пішла собі десь.	доведеться
949	RU	Тут опять про себя недобрым словом помянули Михаила Александровича : все столики на веранде , натурально , оказались уже занятыми , и пришлось оставаться ужинать в этих красивых , но душных залах .	приходиться
949	EN	Here again they silently berated Mikhail Alexandrovich : all the tables on the veranda , naturally , were occupied , and they had to stay for supper in those beautiful but airless halls .	have to
949	DE	Hier schmähten sie Berlioz im stillen abermals mit bösen Worten , denn auf der Veranda waren natürlich alle Tische besetzt , und sie mußten in den schönen , doch stickigen Sälen zu Abend essen .	müssen
949	IT	Anche qui imprecarono sottovoce contro Michail Aleksandrovi : i tavolini sulla veranda, naturalmente, erano già occupati, ed essi furono costretti a cenare nelle belle ma afose sale interne.	costretto
949	ES	Allí hablaron de nuevo de Mijaíl Alexándrovich y con palabras poco amables. Todas las mesas de fuera estaban ocupadas, como era lógico, y tuvieron que quedarse a cenar en los preciosos pero bochornosos salones.	tener que
949	FR	Là encore, chacun murmura à part soi quelques mots malsonnants à l’adresse de Mikhaïl Alexandrovitch : car naturellement, toutes les tables de dehors étaient occupées, et force était d’aller dîner dans ces salles magnifiques, certes, mais étouffantes.	force était d’aller
949	UK	Тут знову подумки недобрим словом пом’янули Михайла Олександровича: усі столики на веранді, природно, виявились вже позайманими, і довелось залишатися вечеряти у цих красивих, але душних залях.	доведеться
1040	RU	– Ты , – оскалившись , перебил Иван , – понимаешь ли , что надо поймать профессора ?	надо
1040	EN	 You , ' Ivan interrupted , baring his teeth , " but do n't you understand that the professor has to be caught ?	have to
1040	DE	 Du  , unterbrach ihn Iwan zähnefletschend , " kapierst du nicht , daß man den Professor fangen muß ?	müssen
1040	IT	- Tu, - lo interruppe Ivan digrignando i denti, - lo capisci che bisogna prendere il professore?	bisognare
1040	ES	—Pero ¿no te das cuenta que hace falta atrapar al profesor?	haber
1040	FR	– Tu ne comprends pas, coupa Ivan en montrant les dents, qu’il faut attraper le professeur ?	il faut
1040	UK	— Ти, — вишкірившись, перебив Іван, — чи розумієш, що треба зловити професора?	треба
1142	RU	– Да при чем здесь « толкнул » ? – сердясь на общую бестолковость , воскликнул Иван , – такому и толкать не надо !	надо
1142	EN	 " Pushed him " , nothing ! ' Ivan exclaimed , angered by the general obtuseness . ' His kind do n't need to push !	need to
1142	DE	 Wieso denn gestoßen ?  rief Iwan , ungehalten über die allgemeine Begriffsstutzigkeit . " So was hat der gar nicht nötig !	nötig
1142	IT	- Che c'entra la «spinta»? - esclamò Ivan, infuriandosi per la stupidità generale. - Uno come lui non ha bisogno di spingere!	avere bisogno
1142	ES	—Pero ¿por qué «empujó»? —exclamó Iván irritado por la torpeza general—. Ese no tiene ni que molestarse en empujar.	tener que
1142	FR	– Qui vous parle de « pousser » ? s’écria Ivan, irrité par cette sottise générale. Est-ce que vous vous figurez qu’il a besoin de pousser, lui ?	il a besoin
1142	UK	— Та яке там «штовхнув»? — озлоблений загальною нетямою, викрикнув Іван. — Такому й штовхати не треба!	не треба
1157	RU	Он лично с Понтием Пилатом разговаривал . Да нечего на меня так смотреть ! Верно говорю ! Все видел – и балкон и пальмы .	нечего
1157	EN	He spoke personally with Pontius Pilate . And there 's no need to stare at me like that . I 'm telling the truth ! He saw everything - the balcony and the palm trees .	need to
1157	DE	Er hat persönlich mit Pontius Pilatus gesprochen . Da brauchen Sie gar nicht so zu kucken , ich sag's , wie's ist ! Alles hat er gesehen , den Balkon und die Palmen .	brauchen
1157	IT	Ha parlato personalmente con Ponzio Pilato. Non è proprio il caso di guardarmi cosí, dico la pura verità! Ha visto tutto, e il balcone, e le palme.	non è proprio
1157	ES	Ha hablado personalmente con Poncio Pilatos. ¡Y no tenéis que mirarme de esa manera! Ha visto todo: el balcón y las palmeras.	tener que
1157	FR	Il a parlé personnellement avec Ponce Pilate. Inutile de me regarder comme ça, je dis la vérité ! Il a tout vu, la terrasse du palais, les palmiers…	inutile
1157	UK	Він особисто з Понтієм Пилатом розмовляв. Та що ви на мене так дивитесь? Вірно кажу. Усе бачив — і балькон, і пальми.	syntax
1315	RU	Степа был хитрым человеком и , как ни был болен , сообразил , что раз уж его застали в таком виде , нужно признаваться во всем .	нужно
1315	EN	Styopa was a shrewd man and , sick as he was , realized that since he had been found in this state , he would have to confess everything .	have to
1315	DE	Der gewitzte Stjopa , so angeschlagen er war , wußte doch , daß er , war er schon in solchem Zustand angetroffen worden , alles zugeben mußte .	müssen
1315	IT	Stepa era un uomo furbo e, per quanto stesse male, capí che, dal momento che l'avevano trovato in quello stato, doveva confessare tutto.	dovere
1315	ES	Stiopa, que era un hombre astuto, comprendió, a pesar de su situación, que ya que le había encontrado en tal estado, tenía que confesarlo todo.	tener que
1315	FR	Stepan était un homme astucieux et, quoique malade, il se rendait bien compte que, puisqu’on l’avait trouvé dans cet état, mieux valait tout avouer.missing
1315	UK	Стьопа був хитрою людиною і, хоч би як недужим він був, зміркував, що як його вже прихопили в такому стані, слід визнавати усе.	слід
1596	RU	– Но его необходимо поймать ! – уже моляще воскликнул Иван .	необходимо
1596	EN	 But he has to be caught ! ' Ivan exclaimed , imploringly now .	have to
1596	DE	 Aber man muß ihn doch dingfest machen !  rief Iwan flehend .	müssen
1596	IT	- Ma è indispensabile catturarlo! - esclamò Ivan, questa volta però con voce supplichevole.	indispensabile
1596	ES	—¡Pero si hay que pescarle enseguida! —gritó Iván suplicante.	haber
1596	FR	– Mais il faut absolument l’arrêter ! s’écria Ivan, d’un ton déjà suppliant.	il faut
1596	UK	— Але ж його треба впіймати! — вже благально вигукнув Іван.	треба
1691	RU	К осени надо было закупать нефть для парового отопления , а на какие шиши – неизвестно .	надо
1691	EN	Fuel had to be bought for the heating system by fall , but who was going to shell out for it - no one knew .	have to
1691	DE	Im Herbst mußte Öl für die Dampfheizung gekauft werden , doch wovon , wußte keiner .	müssen
1691	IT	In autunno sarebbe stato necessario comprare la nafta per il riscaldamento, ma con quali quattrini non si sapeva.	essere necessario
1691	ES	Cuando llegara el otoño tenían que comprar petróleo para la calefacción, pero nadie sabía de dónde podrían sacar el dinero necesario.	tener que
1691	FR	À l’automne, il faudrait acheter du mazout pour le chauffage, mais avec quels sous – mystère.	il faut
1691	UK	До осені треба було закупляти нафту до парового опалення, а на яке купило — хтозна.	треба
1693	RU	Но деловой и осторожный Никанор Иванович заявил , что ему прежде всего придется увязать этот вопрос с интуристским бюро .	приходиться
1693	EN	However , the practical and prudent Nikanor Ivanovich said he would first have to settle the question with the foreign tourist bureau .	have to
1693	DE	Der geschäftstüchtige und vorsichtige Nikanor Iwanowitsch erklärte jedoch , er müsse die Frage zuerst mit dem Ausländerbüro abstimmen .	müsse
1693	IT	Ma Nikanor Ivanovi , persona pratica e prudente, dichiarò che in primo luogo doveva avere l'autorizzazione dell'Ufficio turisti stranieri.	dovere
1693	ES	Nikanor Ivánovich era un hombre práctico y prudente. Antes de decidir le dijo al intérprete que tenía que consultarlo con la Oficina de Turismo Extranjero.	tener que
1693	FR	Mais Nicanor Ivanovitch, toujours prudent et pratique, déclara qu’il fallait d’abord voir à régler la question avec le bureau de l’Intourist.	il faut
1693	UK	Та діловий та обачливий Никанор Іванович заявив, що йому перш за все доведеться узгодити це питання з інтуристівським бюром.	доведеться
1763	RU	– Это бывает , – согласился тот , первый , и опять - таки мягко добавил : – Ну что же , надо остальные сдавать .	надо
1763	EN	 That happens , ' the first agreed and added , again gently : ' Well , you 're going to have to turn in the rest . '	have to
1763	DE	 So etwas kommt vor  , stimmte der eine zu und fuhr sanft fort : " Sie müssen aber auch das übrige abgeben . "	müssen
1763	IT	- Capita, - acconsentí il primo, e aggiunse con la stessa dolcezza: - Be', bisogna consegnare gli altri.	bisognare
1763	ES	¡Lo han puesto aquí enemigos!	haber
1763	FR	– Ça se peut, dit le premier, qui ajouta, toujours avec douceur : Bon, maintenant, il faut nous donner le reste.	il faut
1763	UK	— Таке буває, — погодився той, перший, і знову ж таки м’яко додав: — Ну що ж, треба решту здавати.	треба
2025	RU	Пришлось применить третью редакцию , а та оказалась еще хуже первых двух : « ... Берлиозом , который попал под трамвай ... » – а здесь еще прицепился этот никому не известный композитор - однофамилец , и пришлось вписать : « ... не композитором ... »	приходиться
2025	EN	He had to have recourse to a third redaction , which proved still worse than the first two : ' Berlioz , who fell under the tram - car ... ' - and that namesake composer , unknown to anyone , was also dangling here , so he had to put in : ' not the composer ... '	have to
2025	DE	Er mußte eine dritte Redaktion vornehmen , und die erwies sich als noch schlechter : " ... mit Berlioz , der unter die Straßenbahn geriet . .. " , doch hier drängte sich ihm der niemandem bekannte Komponist gleichen Namens hinein , und er mußte hinzufügen : " nicht dem Komponisten ... "	müssen
2025	IT	Si dovette ricorrere a una terza variante, ma questa risultò ancora peggiore delle precedenti: «Berlioz che andò a finire sotto un tram...» Qui saltò fuori l'altro Berlioz, l'omonimo compositore che nessuno conosce, e si dovette aggiungere: «non il compositore...»	dovere
2025	ES	Intentó una tercera redacción, que resultó mucho peor que las dos primeras: «... con Berlioz, que fue atropellado por un tranvía...». Además, la complicación era mayor, porque el compositor también se llamaba así y al otro parecía no conocerle nadie; tuvo que añadir: «No el compositor».	tener que
2025	FR	Une troisième rédaction s’imposait, mais le résultat fut encore plus mauvais : « Berlioz, qui est tombé sous un tramway… », d’autant plus qu’à ce moment vint se mêler à l’affaire ce compositeur du même nom, totalement inconnu, mais qui obligea Ivan à ajouter : « pas le compositeur… ».	obligea
2025	UK	Довелося застосувати третю редакцію, та вона виявилася ще гіршою від перших двох: «…Берліозом, який потрапив під трамвай…» — а тут іще дочепився цей нікому невідомий композитор-однозванець, і довелося вписувати: «… не композитором…»	доведеться
2088	RU	Это , конечно , неприятное , но не сверхъестественное событие почему - то окончательно потрясло финдиректора , но в то же время и обрадовало : отвалилась необходимость звонить .	необходимость
2088	EN	This certainly unpleasant , though hardly supernatural , occurrence for some reason thoroughly shocked the findirector , but at the same time he was glad : the need to call fell away .	need to
2088	DE	Diese zwar ärgerliche , doch nicht übernatürliche Erscheinung gab dem Finanzdirektor den Rest , aber zugleich erfreute sie ihn , denn nun war er des Anrufens enthoben .	lexical
2088	IT	Questo fenomeno sgradevole, naturalmente, ma non soprannaturale, scosse definitivamente il direttore finanziario, ma nello stesso tempo lo rallegrò: era venuta meno la necessità di telefonare.	necessità
2088	ES	El ordenanza le informó que lo mismo ocurrió con todos los teléfonos de la casa; era de esperar, pero este hecho, simplemente molesto, acabó de desanimarle, aunque, por otro lado, le servía de disculpa para no tener que hacer aquella llamada.	tener que
2088	FR	Cet événement – désagréable, certes, mais non surnaturel – acheva, on ne sait pourquoi, d’abattre le directeur financier, tout en le réjouissant, car il le débarrassait ainsi de l’obligation de téléphoner.	l’obligation
2088	UK	Ця, звичайно, прикра, та не надприродна подія чомусь остаточно приголомшила фіндиректора, але водночас і втішила: відпала потреба телефонувати.	потреба
2227	RU	Бенгальского пробовали уложить на диван в уборной , но он стал отбиваться , сделался буен . Пришлось вызывать карету .	приходиться
2227	EN	They tried to lie Bengalsky down on a sofa in the dressing room , but he began to struggle , became violent . They had to call an ambulance .	have to
2227	DE	Man versuchte , Bengalski in der Garderobe aufs Sofa zu legen , aber er schlug um sich und begann zu toben , und man mußte einen Krankenwagen rufen .	müssen
2227	IT	Tentarono di far sdraiare Bengal'skij su un divano dell'ufficio, ma egli cominciò a divincolarsi, diventando furioso. Fu necessario chiamare il pronto soccorso.	essere necessario
2227	ES	Trataron de acostar a Bengalski en un sofá de un camerino, pero se resistía, estaba agresivo y tuvieron que avisar a una ambulancia.	tener que
2227	FR	On essaya d’allonger Bengalski sur un divan, dans sa loge, mais il résista et commença à se débattre comme un fou furieux. Il fallut appeler une ambulance.	il faut
2227	UK	Бенґальського намагалися покласти на диван в ґримерні, та він став відбиватися, зробився буйним. Довелося викликати карету.	доведеться
2557	RU	И , наконец , настал час , когда пришлось покинуть тайный приют и выйти в жизнь .	приходиться
2557	EN	And finally the hour came when he had to leave his secret refuge and go out into life .	have to
2557	DE	Endlich kam die Stunde , in der es galt , das Versteck zu verlassen und ins Leben zu treten .	es galt
2557	IT	Infine giunse l'ora di abbandonare il rifugio segreto e di entrare nella vita.	di
2557	ES	Llegó por fin la hora en que tuvieron que abandonar su refugio secreto y salir a la vida.	tener que
